id,month,bank_name,no_of_transactions,amt_of_transactions,no_of_active_costumers
3286,01-02-2016,Catholic Syrian Bank,3388,275.93,
3287,01-02-2016,Central Bank of India,74570,5243.21,
3288,01-02-2016,Citi Bank,516493,61230.11,
3289,01-02-2016,City Union Bank,67894,5893.65,
3290,01-02-2016,Corporation Bank,62096,5894.42,
3291,01-02-2016,DBS Bank India,3529,1697.63,
3292,01-02-2016,Dena Bank,8423,684.5,
3293,01-02-2016,Development Credit Bank,26309,3115.62,
3294,01-02-2016,Dhanlaxmi Bank,2171,98.17,
3295,01-02-2016,Dombivli Nagrik Co-operative Bank,2693,327.79,
3296,01-02-2016,Federal Bank,335226,16217.28,
3297,01-02-2016,Greater Bombay Co-operative Bank,7919,595.19,
3298,01-02-2016,HDFC Bank,5671832,864672.73,
3299,01-02-2016,HSBC,8691,3701.82,
3300,01-02-2016,ICICI Bank,7026022,1022496.09,
3301,01-02-2016,IDBI Bank,38755,1673.09,
3302,01-02-2016,Indian Bank,212277,16393.83,
3303,01-02-2016,Indian Overseas Bank,123255,10967.08,
3304,01-02-2016,IndusInd Bank,246942,38093.07,
3305,01-02-2016,Jammu and Kashmir Bank,0,0,
3306,01-02-2016,Janta Co-operative Bank Pune,844,58.81,
3307,01-02-2016,JP Morgan Chase Bank,0,0,
3308,01-02-2016,Karnataka Bank,57484,3301.62,
3309,01-02-2016,Karur Vysya Bank,137854,13010.07,
3310,01-02-2016,Kerala Gramin Bank,2113,199.51,
3311,01-02-2016,Kotak Mahindra Bank,1823838,242476.43,
3312,01-02-2016,Lakshmi Vilas Bank,26635,1555.89,
3313,01-02-2016,Mehsana Urban Co-operative Bank,459,53.75,
3314,01-02-2016,Nainital Bank,108,2.92,
3315,01-02-2016,NKGSB Co-operative Bank,2512,196.7,
3316,01-02-2016,Oriental Bank of Commerce,12245,1057.53,
3317,01-02-2016,Pallavan Grama Bank,1825,3.61,
3318,01-02-2016,Pragathi Krishna Gramin Bank,7416,538.75,
3319,01-02-2016,Punjab and Maharashtra Co-operative Bank,16418,1264.02,
3320,01-02-2016,Punjab and Sindh Bank,58897,1196.36,
3321,01-02-2016,Punjab National Bank,116704,11020.69,
3322,01-02-2016,RBL Bank,14009,1237.46,
3323,01-02-2016,Royal Bank of Scotland N.V.,5832,1336.86,
3324,01-02-2016,Saraswat Co-operative Bank,31619,2119.04,
3325,01-02-2016,South Indian Bank,214435,5528.64,
3326,01-02-2016,Standard Chartered Bank,0,0,
3327,01-02-2016,State Bank of Bikaner and Jaipur,53525,487.99,
3328,01-02-2016,State Bank of Hyderabad,161269,299.93,
3329,01-02-2016,State Bank of India,16000178,2186352.76,
3330,01-02-2016,State Bank of Mysore,31635,532.44,
3331,01-02-2016,State Bank of Patiala,6678,118.01,
3332,01-02-2016,State Bank of Travancore,87403,1147.62,
3333,01-02-2016,Syndicate Bank,184121,7049.31,
3334,01-02-2016,Tamilnadu Mercantile Bank,18208,634.82,
3335,01-02-2016,Thane Janata Co-operative Bank,11739,1037.47,
3336,01-02-2016,Cosmos Co-operative Bank,4469,317.58,
3337,01-02-2016,UCO Bank,257265,9757.46,
3338,01-02-2016,Union Bank of India,579594,14093.22,
3339,01-02-2016,United Bank of India,103395,5001.54,
3340,01-02-2016,Vijaya Bank,259257,9773.98,
3341,01-02-2016,Yes Bank,748431,38650.03,
3342,01-03-2016,Andhra Pradesh Mahesh Co-operative Urban Bank,1474,246.72,
3343,01-03-2016,Allahabad Bank,162713,7106.49,
3344,01-03-2016,Andhra Bank,114315,8547.82,
3345,01-03-2016,Axis Bank,7896459,755210.02,
3346,01-03-2016,Bank of Baroda,834097,32772.8,
3347,01-03-2016,Bank of India,21497,1609.39,
3348,01-03-2016,Bank of Maharashtra,61545,7172.22,
3349,01-03-2016,Bassein Catholic Co-operative Bank,1560,288.03,
3350,01-03-2016,Canara Bank,1029404,60187.47,
3351,01-03-2016,Catholic Syrian Bank,3531,320.03,
3352,01-03-2016,Central Bank of India,89030,6248.38,
3353,01-03-2016,Citi Bank,570335,71083.15,
3354,01-03-2016,City Union Bank,83699,7464.27,
3355,01-03-2016,Corporation Bank,13322,1178.08,
3356,01-03-2016,DBS Bank India,3827,1538.67,
3357,01-03-2016,Dena Bank,10047,801.95,
3358,01-03-2016,Development Credit Bank,31821,3820.97,
3359,01-03-2016,Dhanlaxmi Bank,3069,179.32,
3360,01-03-2016,Dombivli Nagrik Co-operative Bank,2648,377.9,
3361,01-03-2016,Federal Bank,419296,19866.57,
3362,01-03-2016,Greater Bombay Co-operative Bank,8145,671.77,
3363,01-03-2016,HDFC Bank,6353802,1043085.27,
3364,01-03-2016,HSBC,9904,5232.37,
3365,01-03-2016,ICICI Bank,7820784,1142348.92,
3366,01-03-2016,IDBI Bank,42161,1834.89,
3367,01-03-2016,Indian Bank,290846,18555.03,
3368,01-03-2016,Indian Overseas Bank,180943,16549.43,
3369,01-03-2016,IndusInd Bank,307134,46534.46,
3370,01-03-2016,Jammu and Kashmir Bank,0,0,
3371,01-03-2016,Janta Co-operative Bank Pune,848,67.48,
3372,01-03-2016,Karnataka Bank,66022,4021.95,
3373,01-03-2016,Karur Vysya Bank,168455,17180.86,
3374,01-03-2016,Kerala Gramin Bank,7804,617.93,
3375,01-03-2016,Kotak Mahindra Bank,2062474,288262.58,
3376,01-03-2016,Lakshmi Vilas Bank,37133,2773.38,
3377,01-03-2016,Mehsana Urban Co-operative Bank,562,64.53,
3378,01-03-2016,Nainital Bank,102,3.32,
3379,01-03-2016,NKGSB Co-operative Bank,2853,225.78,
3380,01-03-2016,Oriental Bank of Commerce,13322,1178.08,
3381,01-03-2016,Pallavan Grama Bank,1418,2.54,
3382,01-03-2016,Pragathi Krishna Gramin Bank,9099,662.87,
3383,01-03-2016,Punjab and Maharashtra Co-operative Bank,18236,1412.36,
3384,01-03-2016,Punjab and Sindh Bank,28333,1282.56,
3385,01-03-2016,Punjab National Bank,240374,6748.49,
3386,01-03-2016,RBL Bank,20186,1707.48,
3387,01-03-2016,Royal Bank of Scotland N.V.,7344,1847.06,
3388,01-03-2016,Saraswat Co-operative Bank,58876,4706.66,
3389,01-03-2016,South Indian Bank,250779,6421.69,
3390,01-03-2016,Standard Chartered Bank,0,0,
3391,01-03-2016,State Bank of Bikaner and Jaipur,62747,594.14,
3392,01-03-2016,State Bank of Hyderabad,185866,1299.82,
3393,01-03-2016,State Bank of India,17172296,2000733.2,
3394,01-03-2016,State Bank of Mysore,39854,717.83,
3395,01-03-2016,State Bank of Patiala,3215,135.31,
3396,01-03-2016,State Bank of Travancore,95271,1334.89,
3397,01-03-2016,Syndicate Bank,206600,7945.41,
3398,01-03-2016,Tamilnad Mercantile Bank,22892,855.82,
3399,01-03-2016,Thane Janata Co-operative Bank,11616,1228.08,
3400,01-03-2016,Cosmos Co-operative Bank,5025,348.56,
3401,01-03-2016,UCO Bank,298018,12328.06,
3402,01-03-2016,Union Bank of India,629203,38758.31,
3403,01-03-2016,United Bank of India,121697,5785.32,
3404,01-03-2016,Vijaya Bank,351797,15415.59,
3405,01-03-2016,Yes Bank,909155,40539.36,
3406,01-04-2016,Andhra Pradesh Mahesh Co-operative Urban Bank,1473,216.31,
3407,01-04-2016,Allahabad Bank,162029,7328.15,
3408,01-04-2016,Andhra Bank,117096,9153.51,
3409,01-04-2016,Axis Bank,7875403,715461.7,
3410,01-04-2016,Bandhan Bank,2925,376.98,
3411,01-04-2016,Bank of Baroda,817353,32067.31,
3412,01-04-2016,Bank of India,19669,1509.94,
3413,01-04-2016,Bank of Maharashtra,59397,7385.61,
3414,01-04-2016,Bassein Catholic Co-operative Bank,1556,270.64,
3415,01-04-2016,Canara Bank,1079037,63799.5,
3416,01-04-2016,Catholic Syrian Bank,3687,312.08,
3417,01-04-2016,Central Bank of India,96810,5922.71,
3418,01-04-2016,Citi Bank,587236,72320.95,
3419,01-04-2016,City Union Bank,82524,7532.11,
3420,01-04-2016,Corporation Bank,95945,6688.04,
3421,01-04-2016,DBS Bank India,4684,1246.23,
3422,01-04-2016,Dena Bank,9527,790.04,
3423,01-04-2016,Development Credit Bank,31843,4050.56,
3424,01-04-2016,Dhanlaxmi Bank,3590,203.82,
3425,01-04-2016,Dombivli Nagrik Co-operative Bank,4338,376.23,
3426,01-04-2016,Federal Bank,446208,21458.88,
3427,01-04-2016,Greater Bombay Co-operative Bank,8121,668.08,
3428,01-04-2016,HDFC Bank,6359349,967203.77,
3429,01-04-2016,HSBC,9734,4398.9,
3430,01-04-2016,ICICI Bank,7967452,1094601.9,
3431,01-04-2016,IDBI Bank,42374,1869.18,
3432,01-04-2016,Indian Bank,356673,19185.26,
3433,01-04-2016,Indian Overseas Bank,185483,16971.5,
3434,01-04-2016,IndusInd Bank,334081,33337.88,
3435,01-04-2016,Jammu and Kashmir Bank,0,0,
3436,01-04-2016,Janta Co-operative Bank Pune,840,68.25,
3437,01-04-2016,JP Morgan Chase Bank,0,0,
3438,01-04-2016,Karnataka Bank,66073,4347.68,
3439,01-04-2016,Karur Vysya Bank,188554,20735.1,
3440,01-04-2016,Kerala Gramin Bank,12242,731.39,
3441,01-04-2016,Kotak Mahindra Bank,2125317,272544.11,
3442,01-04-2016,Lakshmi Vilas Bank,45390,3442.21,
3443,01-04-2016,Mehsana Urban Co-operative Bank,479,56.17,
3444,01-04-2016,Nainital Bank,105,2.93,
3445,01-04-2016,NKGSB Co-operative Bank,2711,210.51,
3446,01-04-2016,Oriental Bank of Commerce,13714,1176.44,
3447,01-04-2016,Pallavan Grama Bank,1393,3.79,
3448,01-04-2016,Pragathi Krishna Gramin Bank,8930,678.82,
3449,01-04-2016,Punjab and Maharashtra Co-operative Bank,18866,1551.53,
3450,01-04-2016,Punjab and Sindh Bank,7110,23854.54,
3451,01-04-2016,Punjab National Bank,266134,37898.84,
3452,01-04-2016,RBL Bank,22705,1871.17,
3453,01-04-2016,Royal Bank of Scotland N.V.,7002,1678.17,
3454,01-04-2016,Saraswat Co-operative Bank,36150,2452.47,
3455,01-04-2016,South Indian Bank,234875,6208.03,
3456,01-04-2016,Standard Chartered Bank,0,0,
3457,01-04-2016,State Bank of Bikaner and Jaipur,101167,2035.93,
3458,01-04-2016,State Bank of Hyderabad,252810,4459.94,
3459,01-04-2016,State Bank of India,15891844,1634758.65,
3460,01-04-2016,State Bank of Mysore,41021,791.16,
3461,01-04-2016,State Bank of Patiala,3270,144.37,
3462,01-04-2016,State Bank of Travancore,98788,1467.85,
3463,01-04-2016,Syndicate Bank,219999,8499.33,
3464,01-04-2016,Tamilnad Mercantile Bank,21627,876.86,
3465,01-04-2016,Thane Janata Co-operative Bank,11667,1231.27,
3466,01-04-2016,Cosmos Co-operative Bank,4657,348.06,
3467,01-04-2016,UCO Bank,296120,13127.18,
3468,01-04-2016,Union Bank of India,643955,39384.85,
3469,01-04-2016,United Bank of India,124221,5704.41,
3470,01-04-2016,Vijaya Bank,351268,15654.92,
3471,01-04-2016,Yes Bank,779970,43614.09,
3472,01-05-2016,Andhra Pradesh Mahesh Co-operative Urban Bank,1595,273.05,
3473,01-05-2016,Allahabad Bank,176726,7827.18,
3474,01-05-2016,Andhra Bank,128186,9835.74,
3475,01-05-2016,Axis Bank,8201378,732249.36,
3476,01-05-2016,Bandhan Bank,4004,557.37,
3477,01-05-2016,Bank of Baroda,943050,37221.81,
3478,01-05-2016,Bank of India,20073,1451.95,
3479,01-05-2016,Bank of Maharashtra,66965,7874.68,
3480,01-05-2016,Bassein Catholic Co-operative Bank,1635,289.75,
3481,01-05-2016,Canara Bank,1127592,68007.14,
3482,01-05-2016,Catholic Syrian Bank,4039,340.63,
3483,01-05-2016,Central Bank of India,140309,7414.7,
3484,01-05-2016,Citi Bank,578773,73379.73,
3485,01-05-2016,City Union Bank,113585,8545.6,
3486,01-05-2016,Corporation Bank,75443,7086.42,
3487,01-05-2016,DBS Bank India,14042,1519.45,
3488,01-05-2016,Dena Bank,11233,894.73,
3489,01-05-2016,Development Credit Bank,32195,4109.92,
3490,01-05-2016,Dhanlaxmi Bank,4645,241.82,
3491,01-05-2016,Dombivli Nagrik Co-operative Bank,5572,389.76,
3492,01-05-2016,Federal Bank,504889,25350.9,
3493,01-05-2016,Greater Bombay Co-operative Bank,8637,693.73,
3494,01-05-2016,HDFC Bank,16826879,1152955.83,
3495,01-05-2016,HSBC,10036,4310.46,
3496,01-05-2016,ICICI Bank,8220067,1193930.29,
3497,01-05-2016,IDBI Bank,37382,2021.43,
3498,01-05-2016,Indian Bank,439605,21200.93,
3499,01-05-2016,Indian Overseas Bank,203769,17993.69,
3500,01-05-2016,IndusInd Bank,425694,40636.53,
3501,01-05-2016,Jammu and Kashmir Bank,0,0,
3502,01-05-2016,Janta Co-operative Bank Pune,804,64.94,
3503,01-05-2016,JP Morgan Chase Bank,5,4.51,
3504,01-05-2016,Karnataka Bank,72518,4746.67,
3505,01-05-2016,Karur Vysya Bank,212447,23479.45,
3506,01-05-2016,Kerala Gramin Bank,13042,866.64,
3507,01-05-2016,Kotak Mahindra Bank,2099994,277539.73,
3508,01-05-2016,Lakshmi Vilas Bank,57225,3914.89,
3509,01-05-2016,Mehsana Urban Co-operative Bank,451,53.1,
3510,01-05-2016,Nainital Bank,49,1.54,
3511,01-05-2016,NKGSB Co-operative Bank,2989,232.88,
3512,01-05-2016,Oriental Bank of Commerce,15346,1270.71,
3513,01-05-2016,Pallavan Grama Bank,2107,2.88,
3514,01-05-2016,Pragathi Krishna Gramin Bank,8563,599.53,
3515,01-05-2016,Punjab and Maharashtra Co-operative Bank,21996,1746.5,
3516,01-05-2016,Punjab and Sindh Bank,7852,32664.22,
3517,01-05-2016,Punjab National Bank,269972,37903.29,
3518,01-05-2016,RBL Bank,25597,1980.22,
3519,01-05-2016,Royal Bank of Scotland N.V.,6719,1722.62,
3520,01-05-2016,Saraswat Co-operative Bank,38067,2618.23,
3521,01-05-2016,South Indian Bank,255088,7485.94,
3522,01-05-2016,Standard Chartered Bank,0,0,
3523,01-05-2016,State Bank of Bikaner and Jaipur,118003,2176.9,
3524,01-05-2016,State Bank of Hyderabad,259640,4510.5,
3525,01-05-2016,State Bank of India,16992187,2210188.72,
3526,01-05-2016,State Bank of Mysore,46779,921.64,
3527,01-05-2016,State Bank of Patiala,3270,144.37,
3528,01-05-2016,State Bank of Travancore,104121,1522.57,
3529,01-05-2016,Syndicate Bank,236445,9190.76,
3530,01-05-2016,Tamilnad Mercantile Bank,23326,889.81,
3531,01-05-2016,Thane Janata Co-operative Bank,14127,1422.39,
3532,01-05-2016,Cosmos Co-operative Bank,5525,389.25,
3533,01-05-2016,UCO Bank,333031,14607.05,
3534,01-05-2016,Union Bank of India,653694,42074.69,
3535,01-05-2016,United Bank of India,138078,6216,
3536,01-05-2016,Vijaya Bank,388703,17221.52,
3537,01-05-2016,Yes Bank,976471,42357,
3538,01-06-2016,Andhra Pradesh Mahesh Co-operative Urban Bank,1532,224,
3539,01-06-2016,Allahabad Bank,182499,8419.48,
3540,01-06-2016,Andhra Bank,139301,10398.32,
3541,01-06-2016,Axis Bank,8207877,757595.78,
3542,01-06-2016,Bandhan Bank,5007,713.87,
3543,01-06-2016,Bank of Baroda,976018,39627.92,
3544,01-06-2016,Bank of India,21540,1668.46,
3545,01-06-2016,Bank of Maharashtra,70092,8627.22,
3546,01-06-2016,Bassein Catholic Co-operative Bank,1462,265.61,
3547,01-06-2016,Canara Bank,1232294,74390.41,
3548,01-06-2016,Catholic Syrian Bank,4538,383.05,
3549,01-06-2016,Central Bank of India,120137,7242.46,
3550,01-06-2016,Citi Bank,595713,82028.97,
3551,01-06-2016,City Union Bank,125441,9372.97,
3552,01-06-2016,Corporation Bank,75359,7170.57,
3553,01-06-2016,DBS Bank India,70384,4043.18,
3554,01-06-2016,Dena Bank,100686,958.07,
3555,01-06-2016,Development Credit Bank,34484,4398.24,
3556,01-06-2016,Dhanlaxmi Bank,5126,226.27,
3557,01-06-2016,Dombivli Nagrik Co-operative Bank,5483,371.85,
3558,01-06-2016,Federal Bank,540988,30387.7,
3559,01-06-2016,Greater Bombay Co-operative Bank,9455,784.73,
3560,01-06-2016,HDFC Bank,17174204,1169841.45,
3561,01-06-2016,HSBC,9638,4246.56,
3562,01-06-2016,ICICI Bank,8403013,1242900.88,
3563,01-06-2016,IDBI Bank,42331,2018.15,
3564,01-06-2016,Indian Bank,472044,23181.69,
3565,01-06-2016,Indian Overseas Bank,543642,52787.21,
3566,01-06-2016,IndusInd Bank,525952,84772.95,
3567,01-06-2016,Jammu and Kashmir Bank,0,0,
3568,01-06-2016,Janta Co-operative Bank Pune,895,71.08,
3569,01-06-2016,JP Morgan Chase Bank,2,0.59,
3570,01-06-2016,Karnataka Bank,74842,5510.21,
3571,01-06-2016,Karur Vysya Bank,252877,27013.74,
3572,01-06-2016,Kerala Gramin Bank,16634,1188.5,
3573,01-06-2016,Kotak Mahindra Bank,2397277,321503.04,
3574,01-06-2016,Lakshmi Vilas Bank,61838,4576.53,
3575,01-06-2016,Mehsana Urban Co-operative Bank,698,71.84,
3576,01-06-2016,Nainital Bank,126,3.91,
3577,01-06-2016,NKGSB Co-operative Bank,3008,236.67,
3578,01-06-2016,Oriental Bank of Commerce,15805,1346.01,
3579,01-06-2016,Pallavan Grama Bank,1859,5.28,
3580,01-06-2016,Pragathi Krishna Gramin Bank,10551,813.05,
3581,01-06-2016,Punjab and Maharashtra Co-operative Bank,25073,1948.93,
3582,01-06-2016,Punjab and Sindh Bank,9495,33054.08,
3583,01-06-2016,Punjab National Bank,270699,31559.58,
3584,01-06-2016,RBL Bank,28400,2339.34,
3585,01-06-2016,Royal Bank of Scotland N.V.,6315,1885.34,
3586,01-06-2016,Saraswat Co-operative Bank,46911,3123.63,
3587,01-06-2016,South Indian Bank,268041,9605.72,
3588,01-06-2016,Standard Chartered Bank,0,0,
3589,01-06-2016,State Bank of Bikaner and Jaipur,108349,2126.15,
3590,01-06-2016,State Bank of Hyderabad,248204,4597.29,
3591,01-06-2016,State Bank of India,16800398,2515452.16,
3592,01-06-2016,State Bank of Mysore,47097,1004.96,
3593,01-06-2016,State Bank of Patiala,3620,179.93,
3594,01-06-2016,State Bank of Travancore,102189,1673.44,
3595,01-06-2016,Syndicate Bank,242670,9693.61,
3596,01-06-2016,Tamilnad Mercantile Bank,18227,610.82,
3597,01-06-2016,Thane Janata Co-operative Bank,13735,1520.42,
3598,01-06-2016,Cosmos Co-operative Bank,4744,350.19,
3599,01-06-2016,UCO Bank,335827,16102.52,
3600,01-06-2016,Union Bank of India,623643,43670.23,
3601,01-06-2016,United Bank of India,142957,6663.64,
3602,01-06-2016,Vijaya Bank,321976,14637.61,
3603,01-06-2016,Yes Bank,968887,41565.43,
3604,01-07-2016,Andhra Pradesh Mahesh Co-operative Urban Bank,1607,262.02,
3605,01-07-2016,Allahabad Bank,197397,8740.37,
3606,01-07-2016,Andhra Bank,142678,10609.05,
3607,01-07-2016,Axis Bank,8446405,759707.56,
3608,01-07-2016,Bandhan Bank,5566,798.94,
3609,01-07-2016,Bank of Baroda,1086821,42973.34,
3610,01-07-2016,Bank of India,24615,1763.53,
3611,01-07-2016,Bank of Maharashtra,74468,8699.08,
3612,01-07-2016,Bassein Catholic Co-operative Bank,1540,282.62,
3613,01-07-2016,Canara Bank,1361031,81292.23,
3614,01-07-2016,Catholic Syrian Bank,4878,419.51,
3615,01-07-2016,Central Bank of India,206489,8377.23,
3616,01-07-2016,Citi Bank,688724,96188.59,
3617,01-07-2016,City Union Bank,143491,10726.24,
3618,01-07-2016,Corporation Bank,103086,7892.12,
3619,01-07-2016,DBS Bank India,35266,3383.25,
3620,01-07-2016,Dena Bank,13415,1130.38,
3621,01-07-2016,Development Credit Bank,38868,5026.96,
3622,01-07-2016,Dhanlaxmi Bank,5803,281.98,
3623,01-07-2016,Dombivli Nagrik Co-operative Bank,6080,433.16,
3624,01-07-2016,Federal Bank,614826,33873.1,
3625,01-07-2016,Greater Bombay Co-operative Bank,13249,761.95,
3626,01-07-2016,HDFC Bank,19096181,1223066.75,
3627,01-07-2016,HSBC,10753,4992.68,
3628,01-07-2016,ICICI Bank,9272750,1443907,
3629,01-07-2016,IDBI Bank,43645,1978.76,
3630,01-07-2016,Indian Bank,511562,22091.66,
3631,01-07-2016,Indian Overseas Bank,253082,31385.91,
3632,01-07-2016,IndusInd Bank,692988,93778.61,
3633,01-07-2016,Jammu and Kashmir Bank,0,0,
3634,01-07-2016,Janta Co-operative Bank Pune,990,80.81,
3635,01-07-2016,JP Morgan Chase Bank,1,0.07,
3636,01-07-2016,Karnataka Bank,85615,6443.11,
3637,01-07-2016,Karur Vysya Bank,286913,30648.72,
3638,01-07-2016,Kerala Gramin Bank,12550,908.33,
3639,01-07-2016,Kotak Mahindra Bank,2674362,332465.78,
3640,01-07-2016,Lakshmi Vilas Bank,74961,5253.24,
3641,01-07-2016,Mehsana Urban Co-operative Bank,651,72.25,
3642,01-07-2016,Nainital Bank,101,3.65,
3643,01-07-2016,NKGSB Co-operative Bank,2314,174.86,
3644,01-07-2016,Oriental Bank of Commerce,16328,1373.18,
3645,01-07-2016,Pallavan Grama Bank,1908,4.05,
3646,01-07-2016,Pragathi Krishna Gramin Bank,11119,842.16,
3647,01-07-2016,Punjab and Maharashtra Co-operative Bank,29119,2158.39,
3648,01-07-2016,Punjab and Sindh Bank,9385,33155.94,
3649,01-07-2016,Punjab National Bank,261876,50226.89,
3650,01-07-2016,RBL Bank,34676,2891.82,
3651,01-07-2016,Royal Bank of Scotland N.V.,6086,1799.42,
3652,01-07-2016,Saraswat Co-operative Bank,47498,3349.39,
3653,01-07-2016,South Indian Bank,298325,10652.33,
3654,01-07-2016,Standard Chartered Bank,0,0,
3655,01-07-2016,State Bank of Bikaner and Jaipur,108139,1883.67,
3656,01-07-2016,State Bank of Hyderabad,190160,3981.75,
3657,01-07-2016,State Bank of India,17251473,3559152.95,
3658,01-07-2016,State Bank of Mysore,52965,1148.2,
3659,01-07-2016,State Bank of Patiala,8991,189.01,
3660,01-07-2016,State Bank of Travancore,85702,1587.57,
3661,01-07-2016,Syndicate Bank,265536,10673.57,
3662,01-07-2016,Tamilnad Mercantile Bank,19745,807.79,
3663,01-07-2016,Thane Janata Co-operative Bank,20146,1987.01,
3664,01-07-2016,Cosmos Co-operative Bank,6073,430.55,
3665,01-07-2016,UCO Bank,332649,17149.98,
3666,01-07-2016,Union Bank of India,702630,44613.46,
3667,01-07-2016,United Bank of India,160477,7496.64,
3668,01-07-2016,Vijaya Bank,379576,16043.91,
3669,01-07-2016,Yes Bank,934012,41437.35,
3670,01-08-2016,Andhra Pradesh Mahesh Co-operative Urban Bank,1638,321.25,
3671,01-08-2016,Allahabad Bank,201236,8939.94,
3672,01-08-2016,Andhra Bank,196063,12785.68,
3673,01-08-2016,Axis Bank,8540962,773087.64,
3674,01-08-2016,Bandhan Bank,8694,838.15,
3675,01-08-2016,Bank of Baroda,1159471,46295.13,
3676,01-08-2016,Bank of India,15008,1831.21,
3677,01-08-2016,Bank of Maharashtra,74468,8699.08,
3678,01-08-2016,Bassein Catholic Co-operative Bank,1542,357.71,
3679,01-08-2016,Canara Bank,1495662,87597.55,
3680,01-08-2016,Catholic Syrian Bank,5000,418.68,
3681,01-08-2016,Central Bank of India,205633,8961.65,
3682,01-08-2016,Citi Bank,643653,89157.01,
3683,01-08-2016,City Union Bank,204205,11631.87,
3684,01-08-2016,Corporation Bank,105198,8585.39,
3685,01-08-2016,DBS Bank India,73065,4526.93,
3686,01-08-2016,Dena Bank,14738,1198.12,
3687,01-08-2016,Development Credit Bank,41472,5233.02,
3688,01-08-2016,Dhanlaxmi Bank,6307,295.8,
3689,01-08-2016,Dombivli Nagrik Co-operative Bank,6822,397.85,
3690,01-08-2016,Federal Bank,695876,40332.57,
3691,01-08-2016,Greater Bombay Co-operative Bank,7121,932.12,
3692,01-08-2016,HDFC Bank,19612612,1264902.19,
3693,01-08-2016,HSBC,9819,4613.72,
3694,01-08-2016,ICICI Bank,9580868,1397907.16,
3695,01-08-2016,IDBI Bank,43364,1906.96,
3696,01-08-2016,Indian Bank,577963,28225.46,
3697,01-08-2016,Indian Overseas Bank,268222,33793.08,
3698,01-08-2016,IndusInd Bank,888003,113296.92,
3699,01-08-2016,Jammu and Kashmir Bank,0,0,
3700,01-08-2016,Janta Co-operative Bank Pune,1101,98.3,
3701,01-08-2016,JP Morgan Chase Bank,0,0,
3702,01-08-2016,Karnataka Bank,86152,6753,
3703,01-08-2016,Karur Vysya Bank,335090,33421.26,
3704,01-08-2016,Kerala Gramin Bank,18012,1430.91,
3705,01-08-2016,Kotak Mahindra Bank,2787179,345297.33,
3706,01-08-2016,Lakshmi Vilas Bank,69632,5166.2,
3707,01-08-2016,Mehsana Urban Co-operative Bank,656,92.07,
3708,01-08-2016,Nainital Bank,76,2.58,
3709,01-08-2016,NKGSB Co-operative Bank,3286,274.76,
3710,01-08-2016,Oriental Bank of Commerce,16992,1438.8,
3711,01-08-2016,Pallavan Grama Bank,1484,2.24,
3712,01-08-2016,Pragathi Krishna Gramin Bank,12176,957.64,
3713,01-08-2016,Punjab and Maharashtra Co-operative Bank,33258,2515.52,
3714,01-08-2016,Punjab and Sindh Bank,10290,38471.83,
3715,01-08-2016,Punjab National Bank,399596,47437.66,
3716,01-08-2016,Rajaram Bapu Co-operative Bank,77,466.51,
3717,01-08-2016,RBL Bank,38298,3675,
3718,01-08-2016,Royal Bank of Scotland N.V.,2829,1024.07,
3719,01-08-2016,Saraswat Co-operative Bank,48686,3567.39,
3720,01-08-2016,South Indian Bank,312327,12048.85,
3721,01-08-2016,Standard Chartered Bank,0,0,
3722,01-08-2016,State Bank of Bikaner and Jaipur,120586,2100.72,
3723,01-08-2016,State Bank of Hyderabad,230435,4707.57,
3724,01-08-2016,State Bank of India,19334898,5757750.99,
3725,01-08-2016,State Bank of Mysore,57864,1331.69,
3726,01-08-2016,State Bank of Patiala,9020,193.6,
3727,01-08-2016,State Bank of Travancore,92726,1833.1,
3728,01-08-2016,Syndicate Bank,277257,11604.26,
3729,01-08-2016,Tamilnad Mercantile Bank,34060,1541.2,
3730,01-08-2016,Thane Janata Co-operative Bank,23112,2138.28,
3731,01-08-2016,Cosmos Co-operative Bank,6491,473.35,
3732,01-08-2016,UCO Bank,370984,18577.47,
3733,01-08-2016,Union Bank of India,789256,58654.06,
3734,01-08-2016,United Bank of India,169059,7828.51,
3735,01-08-2016,Vijaya Bank,404792,16564.61,
3736,01-08-2016,Yes Bank,976847,43221.87,
3737,01-09-2016,Andhra Pradesh Mahesh Co-operative Urban Bank,1720,316.71,
3738,01-09-2016,Allahabad Bank,203473,9241.45,
3739,01-09-2016,Andhra Bank,233067,13952.76,
3740,01-09-2016,Axis Bank,8663571,795091.38,
3741,01-09-2016,Bandhan Bank,10192,1083.63,
3742,01-09-2016,Bank of Baroda,1221088,50993.85,
3743,01-09-2016,Bank of India,28974,2074.33,
3744,01-09-2016,Bank of Maharashtra,83018,9319.43,
3745,01-09-2016,Bassein Catholic Co-operative Bank,1639,414.37,
3746,01-09-2016,Canara Bank,1576505,95003.23,
3747,01-09-2016,Catholic Syrian Bank,4775,420.8,
3748,01-09-2016,Central Bank of India,234744,9127.94,
3749,01-09-2016,Citi Bank,660286,92730.55,
3750,01-09-2016,City Union Bank,169270,11807.12,
3751,01-09-2016,Corporation Bank,102945,8921.41,
3752,01-09-2016,DBS Bank India,133392,5759.93,
3753,01-09-2016,Dena Bank,15723,1318.88,
3754,01-09-2016,Development Credit Bank,42256,5479.53,
3755,01-09-2016,Dhanlaxmi Bank,7139,322.95,
3756,01-09-2016,Dombivli Nagrik Co-operative Bank,6728,457.32,
3757,01-09-2016,Federal Bank,736666,41664.26,
